 a		phi		phidot		fde		w	1+z	fmatter	frad
    0.188129E-06    0.226653E+00   -0.512690E-22    0.100861E-22   -0.100000E+01    0.531551E+07    0.640371E-03    0.999360E+00
    0.188736E-06    0.226653E+00   -0.517902E-22    0.102170E-22   -0.100000E+01    0.529840E+07    0.642438E-03    0.999358E+00
    0.189346E-06    0.226653E+00   -0.523162E-22    0.103496E-22   -0.100000E+01    0.528135E+07    0.644511E-03    0.999355E+00
    0.189957E-06    0.226653E+00   -0.528471E-22    0.104839E-22   -0.100000E+01    0.526434E+07    0.646591E-03    0.999353E+00
    0.190571E-06    0.226653E+00   -0.533829E-22    0.106200E-22   -0.100000E+01    0.524740E+07    0.648678E-03    0.999351E+00
    0.191186E-06    0.226653E+00   -0.539238E-22    0.107578E-22   -0.100000E+01    0.523051E+07    0.650771E-03    0.999349E+00
    0.191804E-06    0.226653E+00   -0.544697E-22    0.108975E-22   -0.100000E+01    0.521367E+07    0.652872E-03    0.999347E+00
    0.192423E-06    0.226653E+00   -0.550206E-22    0.110389E-22   -0.100000E+01    0.519689E+07    0.654979E-03    0.999345E+00
    0.193044E-06    0.226653E+00   -0.555768E-22    0.111822E-22   -0.100000E+01    0.518016E+07    0.657093E-03    0.999343E+00
    0.193668E-06    0.226653E+00   -0.561381E-22    0.113273E-22   -0.100000E+01    0.516348E+07    0.659213E-03    0.999341E+00
    0.194293E-06    0.226653E+00   -0.567047E-22    0.114743E-22   -0.100000E+01    0.514686E+07    0.661341E-03    0.999339E+00
    0.194921E-06    0.226653E+00   -0.572766E-22    0.116232E-22   -0.100000E+01    0.513029E+07    0.663475E-03    0.999337E+00
