 initial_phi	Omega_de
   0.357000E-18   0.306910+120
   0.358000E-18   0.306910+120
   0.359000E-18   0.306910+120
   0.360000E-18   0.306910+120
   0.361000E-18   0.306910+120
   0.362000E-18   0.306910+120
   0.363000E-18   0.306910+120
   0.364000E-18   0.306910+120
   0.365000E-18   0.306910+120
   0.366000E-18   0.306910+120
   0.367000E-18   0.306910+120
   0.368000E-18   0.306910+120
   0.369000E-18   0.306910+120
   0.370000E-18   0.306910+120
   0.371000E-18   0.306910+120
   0.372000E-18   0.306910+120
   0.373000E-18   0.306910+120
   0.374000E-18   0.306910+120
   0.375000E-18   0.306910+120
   0.376000E-18   0.306910+120
   0.377000E-18   0.306910+120
   0.378000E-18   0.306910+120
   0.379000E-18   0.306910+120
   0.380000E-18   0.306910+120
   0.381000E-18   0.306910+120
   0.382000E-18   0.306910+120
   0.383000E-18   0.306910+120
   0.384000E-18   0.306910+120
   0.385000E-18   0.306910+120
   0.386000E-18   0.306910+120
   0.387000E-18   0.306910+120
   0.388000E-18   0.306910+120
   0.389000E-18   0.306910+120
   0.390000E-18   0.306910+120
   0.391000E-18   0.306910+120
   0.392000E-18   0.306910+120
   0.393000E-18   0.306910+120
   0.394000E-18   0.306910+120
   0.395000E-18   0.306910+120
   0.396000E-18   0.306910+120
   0.397000E-18   0.306910+120
   0.398000E-18   0.306910+120
   0.399000E-18   0.306910+120
   0.400000E-18   0.306910+120
   0.401000E-18   0.306910+120
   0.402000E-18   0.306910+120
   0.403000E-18   0.306910+120
   0.404000E-18   0.306910+120
   0.405000E-18   0.306910+120
   0.406000E-18   0.306910+120
   0.407000E-18   0.306910+120
   0.408000E-18   0.306910+120
   0.409000E-18   0.306910+120
   0.410000E-18   0.306910+120
   0.411000E-18   0.306910+120
   0.412000E-18   0.306910+120
   0.413000E-18   0.306910+120
   0.414000E-18   0.306910+120
   0.415000E-18   0.306910+120
   0.416000E-18   0.306910+120
   0.417000E-18   0.306910+120
   0.418000E-18   0.306910+120
   0.419000E-18   0.306910+120
   0.420000E-18   0.306910+120
   0.421000E-18   0.306910+120
   0.422000E-18   0.306910+120
   0.423000E-18   0.306910+120
   0.424000E-18   0.306910+120
   0.425000E-18   0.306910+120
   0.426000E-18   0.306910+120
   0.427000E-18   0.306910+120
   0.428000E-18   0.306910+120
   0.429000E-18   0.306910+120
   0.430000E-18   0.306910+120
   0.431000E-18   0.306910+120
   0.432000E-18   0.306910+120
   0.433000E-18   0.306910+120
   0.434000E-18   0.306910+120
   0.435000E-18   0.306910+120
   0.436000E-18   0.306910+120
   0.437000E-18   0.306910+120
   0.438000E-18   0.306910+120
   0.439000E-18   0.306910+120
   0.440000E-18   0.306910+120
   0.441000E-18   0.306910+120
   0.442000E-18   0.306910+120
   0.443000E-18   0.306910+120
   0.444000E-18   0.306910+120
   0.445000E-18   0.306910+120
   0.446000E-18   0.306910+120
   0.447000E-18   0.306910+120
   0.448000E-18   0.306910+120
   0.449000E-18   0.306910+120
   0.450000E-18   0.306910+120
   0.451000E-18   0.306910+120
   0.452000E-18   0.306910+120
   0.453000E-18   0.306910+120
   0.454000E-18   0.306910+120
   0.455000E-18   0.306910+120
   0.456000E-18   0.306910+120
   0.457000E-18   0.306910+120
   0.458000E-18   0.306910+120
   0.459000E-18   0.306910+120
   0.460000E-18   0.306910+120
   0.461000E-18   0.306910+120
   0.462000E-18   0.306910+120
   0.463000E-18   0.306910+120
   0.464000E-18   0.306910+120
   0.465000E-18   0.306910+120
   0.466000E-18   0.306910+120
   0.467000E-18   0.306910+120
   0.468000E-18   0.306910+120
   0.469000E-18   0.306910+120
   0.470000E-18   0.306910+120
   0.471000E-18   0.306910+120
   0.472000E-18   0.306910+120
   0.473000E-18   0.306910+120
   0.474000E-18   0.306910+120
   0.475000E-18   0.306910+120
   0.476000E-18   0.306910+120
   0.477000E-18   0.306910+120
   0.478000E-18   0.306910+120
   0.479000E-18   0.306910+120
   0.480000E-18   0.306910+120
   0.481000E-18   0.306910+120
   0.482000E-18   0.306910+120
   0.483000E-18   0.306910+120
   0.484000E-18   0.306910+120
   0.485000E-18   0.306910+120
   0.486000E-18   0.306910+120
   0.487000E-18   0.306910+120
   0.488000E-18   0.306910+120
   0.489000E-18   0.306910+120
   0.490000E-18   0.306910+120
   0.491000E-18   0.306910+120
   0.492000E-18   0.306910+120
   0.493000E-18   0.306910+120
   0.494000E-18   0.306910+120
   0.495000E-18   0.306910+120
   0.496000E-18   0.306910+120
   0.497000E-18   0.306910+120
   0.498000E-18   0.306910+120
   0.499000E-18   0.306910+120
   0.500000E-18   0.306910+120
   0.501000E-18   0.306910+120
   0.502000E-18   0.306910+120
   0.503000E-18   0.306910+120
   0.504000E-18   0.306910+120
   0.505000E-18   0.306910+120
   0.506000E-18   0.306910+120
   0.507000E-18   0.306910+120
   0.508000E-18   0.306910+120
   0.509000E-18   0.306910+120
   0.510000E-18   0.306910+120
   0.511000E-18   0.306910+120
   0.512000E-18   0.306910+120
   0.513000E-18   0.306910+120
   0.514000E-18   0.306910+120
   0.515000E-18   0.306910+120
   0.516000E-18   0.306910+120
   0.517000E-18   0.306910+120
   0.518000E-18   0.306910+120
   0.519000E-18   0.306910+120
   0.520000E-18   0.306910+120
   0.521000E-18   0.306910+120
   0.522000E-18   0.306910+120
   0.523000E-18   0.306910+120
   0.524000E-18   0.306910+120
   0.525000E-18   0.306910+120
   0.526000E-18   0.306910+120
   0.527000E-18   0.306910+120
   0.528000E-18   0.306910+120
   0.529000E-18   0.306910+120
   0.530000E-18   0.306910+120
   0.531000E-18   0.306910+120
   0.532000E-18   0.306910+120
   0.533000E-18   0.306910+120
   0.534000E-18   0.306910+120
   0.535000E-18   0.306910+120
   0.536000E-18   0.306910+120
   0.537000E-18   0.306910+120
   0.538000E-18   0.306910+120
   0.539000E-18   0.306910+120
   0.540000E-18   0.306910+120
   0.541000E-18   0.306910+120
   0.542000E-18   0.306910+120
   0.543000E-18   0.306910+120
   0.544000E-18   0.306910+120
   0.545000E-18   0.306910+120
   0.546000E-18   0.306910+120
   0.547000E-18   0.306910+120
   0.548000E-18   0.306910+120
   0.549000E-18   0.306910+120
   0.550000E-18   0.306910+120
   0.551000E-18   0.306910+120
   0.552000E-18   0.306910+120
   0.553000E-18   0.306910+120
   0.554000E-18   0.306910+120
   0.555000E-18   0.306910+120
   0.556000E-18   0.306910+120
   0.557000E-18   0.306910+120
   0.558000E-18   0.306910+120
   0.559000E-18   0.306910+120
   0.560000E-18   0.306910+120
   0.561000E-18   0.306910+120
   0.562000E-18   0.306910+120
   0.563000E-18   0.306910+120
   0.564000E-18   0.306910+120
   0.565000E-18   0.306910+120
   0.566000E-18   0.306910+120
   0.567000E-18   0.306910+120
   0.568000E-18   0.306910+120
   0.569000E-18   0.306910+120
   0.570000E-18   0.306910+120
   0.571000E-18   0.306910+120
   0.572000E-18   0.306910+120
   0.573000E-18   0.306910+120
   0.574000E-18   0.306910+120
   0.575000E-18   0.306910+120
   0.576000E-18   0.306910+120
   0.577000E-18   0.306910+120
   0.578000E-18   0.306910+120
   0.579000E-18   0.306910+120
   0.580000E-18   0.306910+120
   0.581000E-18   0.306910+120
   0.582000E-18   0.306910+120
   0.583000E-18   0.306910+120
   0.584000E-18   0.306910+120
   0.585000E-18   0.306910+120
   0.586000E-18   0.306910+120
   0.587000E-18   0.306910+120
   0.588000E-18   0.306910+120
   0.589000E-18   0.306910+120
   0.590000E-18   0.306910+120
   0.591000E-18   0.306910+120
   0.592000E-18   0.306910+120
   0.593000E-18   0.306910+120
   0.594000E-18   0.306910+120
   0.595000E-18   0.306910+120
   0.596000E-18   0.306910+120
   0.597000E-18   0.306910+120
   0.598000E-18   0.306910+120
   0.599000E-18   0.306910+120
   0.600000E-18   0.306910+120
   0.601000E-18   0.306910+120
   0.602000E-18   0.306910+120
   0.603000E-18   0.306910+120
   0.604000E-18   0.306910+120
   0.605000E-18   0.306910+120
   0.606000E-18   0.306910+120
   0.607000E-18   0.306910+120
   0.608000E-18   0.306910+120
   0.609000E-18   0.306910+120
   0.610000E-18   0.306910+120
   0.611000E-18   0.306910+120
   0.612000E-18   0.306910+120
   0.613000E-18   0.306910+120
   0.614000E-18   0.306910+120
   0.615000E-18   0.306910+120
   0.616000E-18   0.306910+120
   0.617000E-18   0.306910+120
   0.618000E-18   0.306910+120
   0.619000E-18   0.306910+120
   0.620000E-18   0.306910+120
   0.621000E-18   0.306910+120
   0.622000E-18   0.306910+120
   0.623000E-18   0.306910+120
   0.624000E-18   0.306910+120
   0.625000E-18   0.306910+120
   0.626000E-18   0.306910+120
   0.627000E-18   0.306910+120
   0.628000E-18   0.306910+120
   0.629000E-18   0.306910+120
   0.630000E-18   0.306910+120
   0.631000E-18   0.306910+120
   0.632000E-18   0.306910+120
   0.633000E-18   0.306910+120
   0.634000E-18   0.306910+120
   0.635000E-18   0.306910+120
   0.636000E-18   0.306910+120
   0.637000E-18   0.306910+120
   0.638000E-18   0.306910+120
   0.639000E-18   0.306910+120
   0.640000E-18   0.306910+120
   0.641000E-18   0.306910+120
   0.642000E-18   0.306910+120
   0.643000E-18   0.306910+120
   0.644000E-18   0.306910+120
   0.645000E-18   0.306910+120
   0.646000E-18   0.306910+120
   0.647000E-18   0.306910+120
   0.648000E-18   0.306910+120
   0.649000E-18   0.306910+120
   0.650000E-18   0.306910+120
   0.651000E-18   0.306910+120
   0.652000E-18   0.306910+120
   0.653000E-18   0.306910+120
   0.654000E-18   0.306910+120
   0.655000E-18   0.306910+120
   0.656000E-18   0.306910+120
   0.657000E-18   0.306910+120
   0.658000E-18   0.306910+120
   0.659000E-18   0.306910+120
   0.660000E-18   0.306910+120
   0.661000E-18   0.306910+120
   0.662000E-18   0.306910+120
   0.663000E-18   0.306910+120
   0.664000E-18   0.306910+120
   0.665000E-18   0.306910+120
   0.666000E-18   0.306910+120
   0.667000E-18   0.306910+120
   0.668000E-18   0.306910+120
   0.669000E-18   0.306910+120
