 a		phi		phidot		fde		w	1+z	fmatter	frad
    0.165365E-06    0.907807E+01    0.270841E-23    0.559652E-23   -0.100000E+01    0.604723E+07    0.560994E-03    0.999439E+00
    0.165899E-06    0.907807E+01    0.273742E-23    0.566916E-23   -0.100000E+01    0.602776E+07    0.562804E-03    0.999437E+00
    0.166435E-06    0.907807E+01    0.276670E-23    0.574274E-23   -0.100000E+01    0.600836E+07    0.564621E-03    0.999435E+00
    0.166972E-06    0.907807E+01    0.279623E-23    0.581727E-23   -0.100000E+01    0.598902E+07    0.566443E-03    0.999434E+00
    0.167512E-06    0.907807E+01    0.282602E-23    0.589277E-23   -0.100000E+01    0.596974E+07    0.568272E-03    0.999432E+00
    0.168053E-06    0.907807E+01    0.285608E-23    0.596925E-23   -0.100000E+01    0.595052E+07    0.570106E-03    0.999430E+00
    0.168595E-06    0.907807E+01    0.288640E-23    0.604672E-23   -0.100000E+01    0.593136E+07    0.571946E-03    0.999428E+00
    0.169140E-06    0.907807E+01    0.291700E-23    0.612520E-23   -0.100000E+01    0.591227E+07    0.573792E-03    0.999426E+00
    0.169686E-06    0.907807E+01    0.294787E-23    0.620470E-23   -0.100000E+01    0.589324E+07    0.575644E-03    0.999424E+00
    0.170234E-06    0.907807E+01    0.297901E-23    0.628523E-23   -0.100000E+01    0.587427E+07    0.577502E-03    0.999422E+00
    0.170784E-06    0.907807E+01    0.301043E-23    0.636680E-23   -0.100000E+01    0.585536E+07    0.579366E-03    0.999421E+00
    0.171335E-06    0.907807E+01    0.304214E-23    0.644944E-23   -0.100000E+01    0.583651E+07    0.581236E-03    0.999419E+00
    0.171889E-06    0.907807E+01    0.307413E-23    0.653314E-23   -0.100000E+01    0.581772E+07    0.583112E-03    0.999417E+00
    0.172444E-06    0.907807E+01    0.310640E-23    0.661793E-23   -0.100000E+01    0.579899E+07    0.584994E-03    0.999415E+00
    0.173001E-06    0.907807E+01    0.313897E-23    0.670382E-23   -0.100000E+01    0.578033E+07    0.586882E-03    0.999413E+00
    0.173559E-06    0.907807E+01    0.317183E-23    0.679083E-23   -0.100000E+01    0.576172E+07    0.588776E-03    0.999411E+00
    0.174120E-06    0.907807E+01    0.320499E-23    0.687897E-23   -0.100000E+01    0.574317E+07    0.590676E-03    0.999409E+00
    0.174682E-06    0.907807E+01    0.323844E-23    0.696825E-23   -0.100000E+01    0.572468E+07    0.592583E-03    0.999407E+00
    0.175246E-06    0.907807E+01    0.327220E-23    0.705868E-23   -0.100000E+01    0.570626E+07    0.594495E-03    0.999406E+00
    0.175812E-06    0.907807E+01    0.330627E-23    0.715030E-23   -0.100000E+01    0.568789E+07    0.596414E-03    0.999404E+00
    0.176380E-06    0.907807E+01    0.334064E-23    0.724310E-23   -0.100000E+01    0.566958E+07    0.598339E-03    0.999402E+00
    0.176950E-06    0.907807E+01    0.337533E-23    0.733710E-23   -0.100000E+01    0.565133E+07    0.600270E-03    0.999400E+00
    0.177521E-06    0.907807E+01    0.341034E-23    0.743233E-23   -0.100000E+01    0.563313E+07    0.602208E-03    0.999398E+00
    0.178094E-06    0.907807E+01    0.344566E-23    0.752879E-23   -0.100000E+01    0.561500E+07    0.604151E-03    0.999396E+00
    0.178669E-06    0.907807E+01    0.348130E-23    0.762650E-23   -0.100000E+01    0.559693E+07    0.606101E-03    0.999394E+00
    0.179247E-06    0.907807E+01    0.351727E-23    0.772548E-23   -0.100000E+01    0.557891E+07    0.608057E-03    0.999392E+00
    0.179825E-06    0.907807E+01    0.355357E-23    0.782575E-23   -0.100000E+01    0.556095E+07    0.610020E-03    0.999390E+00
    0.180406E-06    0.907807E+01    0.359021E-23    0.792732E-23   -0.100000E+01    0.554305E+07    0.611989E-03    0.999388E+00
    0.180989E-06    0.907807E+01    0.362717E-23    0.803020E-23   -0.100000E+01    0.552521E+07    0.613964E-03    0.999386E+00
    0.181573E-06    0.907807E+01    0.366448E-23    0.813442E-23   -0.100000E+01    0.550742E+07    0.615945E-03    0.999384E+00
    0.182160E-06    0.907807E+01    0.370213E-23    0.824000E-23   -0.100000E+01    0.548969E+07    0.617933E-03    0.999382E+00
    0.182748E-06    0.907807E+01    0.374013E-23    0.834694E-23   -0.100000E+01    0.547202E+07    0.619928E-03    0.999380E+00
    0.183338E-06    0.907807E+01    0.377847E-23    0.845527E-23   -0.100000E+01    0.545440E+07    0.621928E-03    0.999378E+00
    0.183930E-06    0.907807E+01    0.381717E-23    0.856501E-23   -0.100000E+01    0.543685E+07    0.623936E-03    0.999376E+00
    0.184524E-06    0.907807E+01    0.385623E-23    0.867617E-23   -0.100000E+01    0.541934E+07    0.625949E-03    0.999374E+00
    0.185120E-06    0.907807E+01    0.389565E-23    0.878877E-23   -0.100000E+01    0.540190E+07    0.627970E-03    0.999372E+00
    0.185718E-06    0.907807E+01    0.393543E-23    0.890284E-23   -0.100000E+01    0.538451E+07    0.629996E-03    0.999370E+00
    0.186318E-06    0.907807E+01    0.397558E-23    0.901838E-23   -0.100000E+01    0.536718E+07    0.632030E-03    0.999368E+00
    0.186919E-06    0.907807E+01    0.401610E-23    0.913543E-23   -0.100000E+01    0.534990E+07    0.634069E-03    0.999366E+00
    0.187523E-06    0.907807E+01    0.405700E-23    0.925399E-23   -0.100000E+01    0.533268E+07    0.636116E-03    0.999364E+00
    0.188129E-06    0.907807E+01    0.409827E-23    0.937410E-23   -0.100000E+01    0.531551E+07    0.638169E-03    0.999362E+00
    0.188736E-06    0.907807E+01    0.413993E-23    0.949576E-23   -0.100000E+01    0.529840E+07    0.640229E-03    0.999360E+00
    0.189346E-06    0.907807E+01    0.418198E-23    0.961900E-23   -0.100000E+01    0.528135E+07    0.642295E-03    0.999358E+00
    0.189957E-06    0.907807E+01    0.422442E-23    0.974384E-23   -0.100000E+01    0.526434E+07    0.644368E-03    0.999356E+00
    0.190571E-06    0.907807E+01    0.426725E-23    0.987030E-23   -0.100000E+01    0.524740E+07    0.646447E-03    0.999354E+00
    0.191186E-06    0.907807E+01    0.431049E-23    0.999840E-23   -0.100000E+01    0.523051E+07    0.648534E-03    0.999351E+00
    0.191804E-06    0.907807E+01    0.435412E-23    0.101282E-22   -0.100000E+01    0.521367E+07    0.650627E-03    0.999349E+00
    0.192423E-06    0.907807E+01    0.439817E-23    0.102596E-22   -0.100000E+01    0.519689E+07    0.652727E-03    0.999347E+00
    0.193044E-06    0.907807E+01    0.444262E-23    0.103928E-22   -0.100000E+01    0.518016E+07    0.654833E-03    0.999345E+00
