#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   102   0.275825E+04  -0.244804E+02   0.357786E-03  -0.244804E+02   0.803005E+00  -0.108085E-05   0.357786E-03  -0.108085E-05   0.100325E-06
   103   0.278991E+04  -0.251434E+02   0.353734E-03  -0.251434E+02   0.817425E+00  -0.105603E-05   0.353734E-03  -0.105603E-05   0.997062E-07
   104   0.282178E+04  -0.258059E+02   0.349757E-03  -0.258059E+02   0.831652E+00  -0.103110E-05   0.349757E-03  -0.103110E-05   0.990910E-07
   105   0.285384E+04  -0.264674E+02   0.345853E-03  -0.264674E+02   0.845679E+00  -0.100675E-05   0.345853E-03  -0.100675E-05   0.984796E-07
   106   0.288609E+04  -0.271271E+02   0.342017E-03  -0.271271E+02   0.859492E+00  -0.983631E-06   0.342017E-03  -0.983631E-06   0.978719E-07
   107   0.291852E+04  -0.277846E+02   0.338244E-03  -0.277846E+02   0.873083E+00  -0.962421E-06   0.338244E-03  -0.962421E-06   0.972681E-07
   108   0.295112E+04  -0.284395E+02   0.334529E-03  -0.284395E+02   0.886430E+00  -0.943789E-06   0.334529E-03  -0.943789E-06   0.966682E-07
   109   0.298389E+04  -0.290909E+02   0.330870E-03  -0.290909E+02   0.899527E+00  -0.928405E-06   0.330870E-03  -0.928405E-06   0.960723E-07
   110   0.301683E+04  -0.297384E+02   0.327261E-03  -0.297384E+02   0.912350E+00  -0.916938E-06   0.327261E-03  -0.916938E-06   0.954803E-07
   111   0.304992E+04  -0.303816E+02   0.323698E-03  -0.303816E+02   0.924893E+00  -0.909888E-06   0.323698E-03  -0.909888E-06   0.948925E-07
   112   0.308316E+04  -0.310197E+02   0.320182E-03  -0.310197E+02   0.937149E+00  -0.907080E-06   0.320182E-03  -0.907080E-06   0.943087E-07
   113   0.311655E+04  -0.316523E+02   0.316711E-03  -0.316523E+02   0.949094E+00  -0.908167E-06   0.316711E-03  -0.908167E-06   0.937291E-07
   114   0.315008E+04  -0.322788E+02   0.313288E-03  -0.322788E+02   0.960713E+00  -0.912804E-06   0.313288E-03  -0.912804E-06   0.931535E-07
   115   0.318373E+04  -0.328985E+02   0.309911E-03  -0.328985E+02   0.972007E+00  -0.920646E-06   0.309911E-03  -0.920646E-06   0.925819E-07
   116   0.321751E+04  -0.335110E+02   0.306581E-03  -0.335110E+02   0.982960E+00  -0.931346E-06   0.306581E-03  -0.931346E-06   0.920145E-07
   117   0.325142E+04  -0.341157E+02   0.303298E-03  -0.341157E+02   0.993550E+00  -0.944560E-06   0.303298E-03  -0.944560E-06   0.914511E-07
   118   0.328542E+04  -0.347119E+02   0.300062E-03  -0.347119E+02   0.100378E+01  -0.959941E-06   0.300062E-03  -0.959941E-06   0.908918E-07
   119   0.331954E+04  -0.352992E+02   0.296874E-03  -0.352992E+02   0.101362E+01  -0.977144E-06   0.296874E-03  -0.977144E-06   0.903366E-07
   120   0.335374E+04  -0.358770E+02   0.293733E-03  -0.358770E+02   0.102309E+01  -0.995824E-06   0.293733E-03  -0.995824E-06   0.897854E-07
   121   0.338804E+04  -0.364447E+02   0.290641E-03  -0.364447E+02   0.103215E+01  -0.101563E-05   0.290641E-03  -0.101563E-05   0.892384E-07
   122   0.342240E+04  -0.370018E+02   0.287596E-03  -0.370018E+02   0.104080E+01  -0.103623E-05   0.287596E-03  -0.103623E-05   0.886954E-07
   123   0.345684E+04  -0.375477E+02   0.284599E-03  -0.375477E+02   0.104904E+01  -0.105726E-05   0.284599E-03  -0.105726E-05   0.881564E-07
   124   0.349134E+04  -0.380819E+02   0.281651E-03  -0.380819E+02   0.105684E+01  -0.107839E-05   0.281651E-03  -0.107839E-05   0.876216E-07
   125   0.352589E+04  -0.386038E+02   0.278752E-03  -0.386038E+02   0.106421E+01  -0.109927E-05   0.278752E-03  -0.109927E-05   0.870908E-07
   126   0.356049E+04  -0.391129E+02   0.275901E-03  -0.391129E+02   0.107114E+01  -0.111955E-05   0.275901E-03  -0.111955E-05   0.865641E-07
   127   0.359512E+04  -0.396086E+02   0.273099E-03  -0.396086E+02   0.107762E+01  -0.113888E-05   0.273099E-03  -0.113888E-05   0.860415E-07
   128   0.362977E+04  -0.400905E+02   0.270346E-03  -0.400905E+02   0.108363E+01  -0.115693E-05   0.270346E-03  -0.115693E-05   0.855229E-07
   129   0.366445E+04  -0.405581E+02   0.267643E-03  -0.405581E+02   0.108919E+01  -0.117335E-05   0.267643E-03  -0.117335E-05   0.850084E-07
   130   0.369913E+04  -0.410107E+02   0.264989E-03  -0.410107E+02   0.109426E+01  -0.118778E-05   0.264989E-03  -0.118778E-05   0.844980E-07
   131   0.373381E+04  -0.414478E+02   0.262385E-03  -0.414478E+02   0.109886E+01  -0.119996E-05   0.262385E-03  -0.119996E-05   0.839917E-07
   132   0.376848E+04  -0.418690E+02   0.259829E-03  -0.418690E+02   0.110299E+01  -0.120992E-05   0.259829E-03  -0.120992E-05   0.834893E-07
   133   0.380314E+04  -0.422738E+02   0.257319E-03  -0.422738E+02   0.110662E+01  -0.121775E-05   0.257319E-03  -0.121775E-05   0.829910E-07
   134   0.383777E+04  -0.426617E+02   0.254855E-03  -0.426617E+02   0.110977E+01  -0.122355E-05   0.254855E-03  -0.122355E-05   0.824967E-07
   135   0.387237E+04  -0.430323E+02   0.252435E-03  -0.430323E+02   0.111242E+01  -0.122742E-05   0.252435E-03  -0.122742E-05   0.820064E-07
   136   0.390693E+04  -0.433850E+02   0.250056E-03  -0.433850E+02   0.111459E+01  -0.122946E-05   0.250056E-03  -0.122946E-05   0.815199E-07
   137   0.394145E+04  -0.437194E+02   0.247719E-03  -0.437194E+02   0.111625E+01  -0.122978E-05   0.247719E-03  -0.122978E-05   0.810374E-07
   138   0.397591E+04  -0.440351E+02   0.245421E-03  -0.440351E+02   0.111742E+01  -0.122846E-05   0.245421E-03  -0.122846E-05   0.805588E-07
   139   0.401030E+04  -0.443316E+02   0.243160E-03  -0.443316E+02   0.111810E+01  -0.122561E-05   0.243160E-03  -0.122561E-05   0.800840E-07
   140   0.404463E+04  -0.446086E+02   0.240936E-03  -0.446086E+02   0.111827E+01  -0.122133E-05   0.240936E-03  -0.122133E-05   0.796130E-07
   141   0.407888E+04  -0.448657E+02   0.238746E-03  -0.448657E+02   0.111797E+01  -0.121571E-05   0.238746E-03  -0.121571E-05   0.791458E-07
   142   0.411304E+04  -0.451023E+02   0.236589E-03  -0.451023E+02   0.111716E+01  -0.120886E-05   0.236589E-03  -0.120886E-05   0.786824E-07
   143   0.414711E+04  -0.453182E+02   0.234465E-03  -0.453182E+02   0.111586E+01  -0.120088E-05   0.234465E-03  -0.120088E-05   0.782228E-07
   144   0.418107E+04  -0.455129E+02   0.232370E-03  -0.455129E+02   0.111409E+01  -0.119186E-05   0.232370E-03  -0.119186E-05   0.777668E-07
   145   0.421492E+04  -0.456860E+02   0.230304E-03  -0.456860E+02   0.111182E+01  -0.118190E-05   0.230304E-03  -0.118190E-05   0.773145E-07
   146   0.424864E+04  -0.458372E+02   0.228265E-03  -0.458372E+02   0.110907E+01  -0.117111E-05   0.228265E-03  -0.117111E-05   0.768659E-07
   147   0.428221E+04  -0.459659E+02   0.226252E-03  -0.459659E+02   0.110586E+01  -0.115958E-05   0.226252E-03  -0.115958E-05   0.764209E-07
   148   0.431562E+04  -0.460719E+02   0.224263E-03  -0.460719E+02   0.110218E+01  -0.114741E-05   0.224263E-03  -0.114741E-05   0.759795E-07
   149   0.434885E+04  -0.461547E+02   0.222297E-03  -0.461547E+02   0.109804E+01  -0.113470E-05   0.222297E-03  -0.113470E-05   0.755417E-07
   150   0.438191E+04  -0.462139E+02   0.220352E-03  -0.462139E+02   0.109345E+01  -0.112155E-05   0.220352E-03  -0.112155E-05   0.751074E-07
   151   0.441475E+04  -0.462492E+02   0.218427E-03  -0.462492E+02   0.108842E+01  -0.110805E-05   0.218427E-03  -0.110805E-05   0.746767E-07
   152   0.444739E+04  -0.462602E+02   0.216522E-03  -0.462602E+02   0.108295E+01  -0.109423E-05   0.216522E-03  -0.109423E-05   0.742494E-07
   153   0.447981E+04  -0.462468E+02   0.214636E-03  -0.462468E+02   0.107705E+01  -0.108011E-05   0.214636E-03  -0.108011E-05   0.738256E-07
   154   0.451202E+04  -0.462087E+02   0.212769E-03  -0.462087E+02   0.107075E+01  -0.106571E-05   0.212769E-03  -0.106571E-05   0.734053E-07
   155   0.454400E+04  -0.461456E+02   0.210922E-03  -0.461456E+02   0.106404E+01  -0.105106E-05   0.210922E-03  -0.105106E-05   0.729884E-07
   156   0.457576E+04  -0.460572E+02   0.209093E-03  -0.460572E+02   0.105694E+01  -0.103618E-05   0.209093E-03  -0.103618E-05   0.725749E-07
   157   0.460728E+04  -0.459434E+02   0.207284E-03  -0.459434E+02   0.104946E+01  -0.102109E-05   0.207284E-03  -0.102109E-05   0.721648E-07
   158   0.463856E+04  -0.458038E+02   0.205494E-03  -0.458038E+02   0.104163E+01  -0.100581E-05   0.205494E-03  -0.100581E-05   0.717580E-07
   159   0.466960E+04  -0.456383E+02   0.203722E-03  -0.456383E+02   0.103343E+01  -0.990371E-06   0.203722E-03  -0.990371E-06   0.713546E-07
   160   0.470038E+04  -0.454467E+02   0.201969E-03  -0.454467E+02   0.102491E+01  -0.974784E-06   0.201969E-03  -0.974784E-06   0.709545E-07
   161   0.473088E+04  -0.452287E+02   0.200235E-03  -0.452287E+02   0.101606E+01  -0.959074E-06   0.200235E-03  -0.959074E-06   0.705577E-07
   162   0.476109E+04  -0.449842E+02   0.198519E-03  -0.449842E+02   0.100691E+01  -0.943265E-06   0.198519E-03  -0.943265E-06   0.701641E-07
   163   0.479100E+04  -0.447128E+02   0.196822E-03  -0.447128E+02   0.997488E+00  -0.927377E-06   0.196822E-03  -0.927377E-06   0.697738E-07
   164   0.482060E+04  -0.444146E+02   0.195143E-03  -0.444146E+02   0.987790E+00  -0.911432E-06   0.195143E-03  -0.911432E-06   0.693868E-07
   165   0.484987E+04  -0.440891E+02   0.193482E-03  -0.440891E+02   0.977839E+00  -0.895454E-06   0.193482E-03  -0.895454E-06   0.690029E-07
   166   0.487881E+04  -0.437365E+02   0.191839E-03  -0.437365E+02   0.967658E+00  -0.879462E-06   0.191839E-03  -0.879462E-06   0.686222E-07
   167   0.490741E+04  -0.433564E+02   0.190214E-03  -0.433564E+02   0.957269E+00  -0.863480E-06   0.190214E-03  -0.863480E-06   0.682447E-07
   168   0.493566E+04  -0.429490E+02   0.188607E-03  -0.429490E+02   0.946695E+00  -0.847529E-06   0.188607E-03  -0.847529E-06   0.678703E-07
   169   0.496355E+04  -0.425140E+02   0.187018E-03  -0.425140E+02   0.935957E+00  -0.831631E-06   0.187018E-03  -0.831631E-06   0.674990E-07
   170   0.499108E+04  -0.420516E+02   0.185446E-03  -0.420516E+02   0.925071E+00  -0.815809E-06   0.185446E-03  -0.815809E-06   0.671308E-07
   171   0.501822E+04  -0.415614E+02   0.183892E-03  -0.415614E+02   0.914066E+00  -0.800083E-06   0.183892E-03  -0.800083E-06   0.667656E-07
   172   0.504499E+04  -0.410436E+02   0.182356E-03  -0.410436E+02   0.902964E+00  -0.784476E-06   0.182356E-03  -0.784476E-06   0.664036E-07
   173   0.507136E+04  -0.404981E+02   0.180836E-03  -0.404981E+02   0.891787E+00  -0.769010E-06   0.180836E-03  -0.769010E-06   0.660445E-07
   174   0.509732E+04  -0.399248E+02   0.179334E-03  -0.399248E+02   0.880558E+00  -0.753706E-06   0.179334E-03  -0.753706E-06   0.656884E-07
   175   0.512288E+04  -0.393239E+02   0.177849E-03  -0.393239E+02   0.869314E+00  -0.738587E-06   0.177849E-03  -0.738587E-06   0.653353E-07
   176   0.514802E+04  -0.386954E+02   0.176381E-03  -0.386954E+02   0.858070E+00  -0.723668E-06   0.176381E-03  -0.723668E-06   0.649852E-07
   177   0.517273E+04  -0.380391E+02   0.174929E-03  -0.380391E+02   0.846862E+00  -0.708945E-06   0.174929E-03  -0.708945E-06   0.646380E-07
