#    L    TT             EE             BB             TE             PP             TP             EP          
    91   0.243227E+04   0.640542E+00   0.000000E+00  -0.174686E+02   0.106147E-06   0.423658E-03  -0.100966E-05
    92   0.246165E+04   0.656091E+00   0.000000E+00  -0.181084E+02   0.105499E-06   0.418103E-03  -0.105135E-05
    93   0.249126E+04   0.671606E+00   0.000000E+00  -0.187526E+02   0.104854E-06   0.412694E-03  -0.108299E-05
    94   0.252109E+04   0.687076E+00   0.000000E+00  -0.194010E+02   0.104212E-06   0.407426E-03  -0.110541E-05
    95   0.255114E+04   0.702485E+00   0.000000E+00  -0.200532E+02   0.103573E-06   0.402293E-03  -0.111945E-05
    96   0.258142E+04   0.717819E+00   0.000000E+00  -0.207086E+02   0.102937E-06   0.397289E-03  -0.112595E-05
    97   0.261192E+04   0.733062E+00   0.000000E+00  -0.213669E+02   0.102305E-06   0.392409E-03  -0.112573E-05
    98   0.264266E+04   0.748200E+00   0.000000E+00  -0.220275E+02   0.101675E-06   0.387648E-03  -0.111962E-05
    99   0.267360E+04   0.763218E+00   0.000000E+00  -0.226899E+02   0.101049E-06   0.383000E-03  -0.110846E-05
   100   0.270477E+04   0.778104E+00   0.000000E+00  -0.233538E+02   0.100426E-06   0.378459E-03  -0.109307E-05
   101   0.273616E+04   0.792844E+00   0.000000E+00  -0.240184E+02   0.998070E-07   0.374020E-03  -0.107430E-05
   102   0.276777E+04   0.807416E+00   0.000000E+00  -0.246835E+02   0.991911E-07   0.369678E-03  -0.105295E-05
   103   0.279957E+04   0.821819E+00   0.000000E+00  -0.253484E+02   0.985788E-07   0.365426E-03  -0.102987E-05
   104   0.283159E+04   0.836024E+00   0.000000E+00  -0.260126E+02   0.979701E-07   0.361260E-03  -0.100588E-05
   105   0.286379E+04   0.850023E+00   0.000000E+00  -0.266755E+02   0.973651E-07   0.357174E-03  -0.981807E-06
   106   0.289619E+04   0.863802E+00   0.000000E+00  -0.273365E+02   0.967637E-07   0.353163E-03  -0.958482E-06
   107   0.292877E+04   0.877354E+00   0.000000E+00  -0.279951E+02   0.961662E-07   0.349221E-03  -0.936729E-06
   108   0.296151E+04   0.890655E+00   0.000000E+00  -0.286508E+02   0.955725E-07   0.345343E-03  -0.917376E-06
   109   0.299443E+04   0.903699E+00   0.000000E+00  -0.293029E+02   0.949827E-07   0.341523E-03  -0.901248E-06
   110   0.302751E+04   0.916464E+00   0.000000E+00  -0.299508E+02   0.943969E-07   0.337755E-03  -0.889171E-06
   111   0.306074E+04   0.928942E+00   0.000000E+00  -0.305942E+02   0.938152E-07   0.334036E-03  -0.881771E-06
   112   0.309412E+04   0.941125E+00   0.000000E+00  -0.312322E+02   0.932374E-07   0.330365E-03  -0.878880E-06
   113   0.312765E+04   0.952991E+00   0.000000E+00  -0.318645E+02   0.926637E-07   0.326742E-03  -0.880131E-06
   114   0.316131E+04   0.964526E+00   0.000000E+00  -0.324903E+02   0.920940E-07   0.323167E-03  -0.885159E-06
   115   0.319510E+04   0.975728E+00   0.000000E+00  -0.331092E+02   0.915284E-07   0.319640E-03  -0.893595E-06
   116   0.322901E+04   0.986584E+00   0.000000E+00  -0.337206E+02   0.909667E-07   0.316161E-03  -0.905075E-06
   117   0.326304E+04   0.997070E+00   0.000000E+00  -0.343240E+02   0.904091E-07   0.312732E-03  -0.919233E-06
   118   0.329718E+04   0.100719E+01   0.000000E+00  -0.349186E+02   0.898555E-07   0.309351E-03  -0.935702E-06
   119   0.333142E+04   0.101692E+01   0.000000E+00  -0.355040E+02   0.893060E-07   0.306020E-03  -0.954118E-06
   120   0.336575E+04   0.102626E+01   0.000000E+00  -0.360797E+02   0.887604E-07   0.302738E-03  -0.974114E-06
   121   0.340017E+04   0.103519E+01   0.000000E+00  -0.366450E+02   0.882188E-07   0.299506E-03  -0.995326E-06
   122   0.343465E+04   0.104371E+01   0.000000E+00  -0.371994E+02   0.876813E-07   0.296324E-03  -0.101739E-05
   123   0.346921E+04   0.105181E+01   0.000000E+00  -0.377424E+02   0.871478E-07   0.293193E-03  -0.103994E-05
   124   0.350383E+04   0.105946E+01   0.000000E+00  -0.382733E+02   0.866183E-07   0.290111E-03  -0.106261E-05
   125   0.353849E+04   0.106669E+01   0.000000E+00  -0.387917E+02   0.860928E-07   0.287081E-03  -0.108503E-05
   126   0.357320E+04   0.107345E+01   0.000000E+00  -0.392971E+02   0.855713E-07   0.284101E-03  -0.110685E-05
   127   0.360794E+04   0.107977E+01   0.000000E+00  -0.397888E+02   0.850539E-07   0.281173E-03  -0.112770E-05
   128   0.364270E+04   0.108562E+01   0.000000E+00  -0.402663E+02   0.845405E-07   0.278296E-03  -0.114721E-05
   129   0.367747E+04   0.109100E+01   0.000000E+00  -0.407292E+02   0.840311E-07   0.275470E-03  -0.116502E-05
   130   0.371226E+04   0.109590E+01   0.000000E+00  -0.411769E+02   0.835257E-07   0.272697E-03  -0.118076E-05
   131   0.374703E+04   0.110032E+01   0.000000E+00  -0.416088E+02   0.830243E-07   0.269975E-03  -0.119416E-05
   132   0.378180E+04   0.110425E+01   0.000000E+00  -0.420245E+02   0.825269E-07   0.267305E-03  -0.120523E-05
   133   0.381654E+04   0.110769E+01   0.000000E+00  -0.424235E+02   0.820335E-07   0.264683E-03  -0.121408E-05
   134   0.385126E+04   0.111064E+01   0.000000E+00  -0.428053E+02   0.815441E-07   0.262109E-03  -0.122081E-05
   135   0.388594E+04   0.111310E+01   0.000000E+00  -0.431695E+02   0.810585E-07   0.259580E-03  -0.122554E-05
   136   0.392059E+04   0.111505E+01   0.000000E+00  -0.435155E+02   0.805769E-07   0.257097E-03  -0.122835E-05
   137   0.395518E+04   0.111651E+01   0.000000E+00  -0.438429E+02   0.800991E-07   0.254656E-03  -0.122936E-05
