#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.364096E-02   0.183035E+08   0.183003E+08   0.483336E+04  -0.329371E+05   0.160067E+08   0.182926E+08   0.183030E+08   0.182825E+08  -0.437114E+00   0.964226E+07   0.964176E+07   0.451250E+02
   0.402019E-02   0.181204E+08   0.181169E+08  -0.227737E+04  -0.267391E+05   0.155773E+08   0.181084E+08   0.181199E+08   0.181001E+08  -0.432689E+00   0.954542E+07   0.954493E+07   0.405608E+02
   0.443891E-02   0.179177E+08   0.179138E+08   0.637663E+03  -0.216835E+05   0.151169E+08   0.179044E+08   0.179171E+08   0.178976E+08  -0.427797E+00   0.943818E+07   0.943769E+07   0.366632E+02
   0.490125E-02   0.176939E+08   0.176896E+08  -0.201333E+04  -0.175619E+05   0.146259E+08   0.176794E+08   0.176932E+08   0.176738E+08  -0.422405E+00   0.931982E+07   0.931933E+07   0.331921E+02
   0.541175E-02   0.174477E+08   0.174429E+08  -0.229730E+04  -0.142042E+05   0.141044E+08   0.174319E+08   0.174470E+08   0.174274E+08  -0.416481E+00   0.918965E+07   0.918916E+07   0.299272E+02
   0.597542E-02   0.171779E+08   0.171725E+08  -0.137896E+04  -0.114710E+05   0.135518E+08   0.171607E+08   0.171770E+08   0.171570E+08  -0.409991E+00   0.904696E+07   0.904648E+07   0.269836E+02
   0.659780E-02   0.168833E+08   0.168772E+08  -0.204275E+04  -0.924843E+04   0.129368E+08   0.168646E+08   0.168824E+08   0.168616E+08  -0.402910E+00   0.889119E+07   0.889071E+07   0.244344E+02
   0.728500E-02   0.165619E+08   0.165549E+08  -0.168167E+04  -0.744239E+04   0.123084E+08   0.165416E+08   0.165608E+08   0.165392E+08  -0.395188E+00   0.872124E+07   0.872076E+07   0.221089E+02
   0.804377E-02   0.162123E+08   0.162043E+08  -0.181048E+04  -0.597660E+04   0.116537E+08   0.161905E+08   0.162110E+08   0.161886E+08  -0.386795E+00   0.853646E+07   0.853598E+07   0.200294E+02
   0.888158E-02   0.158338E+08   0.158245E+08  -0.238047E+04  -0.478864E+04   0.109817E+08   0.158104E+08   0.158323E+08   0.158089E+08  -0.377712E+00   0.833641E+07   0.833593E+07   0.181944E+02
   0.980666E-02   0.154249E+08   0.154141E+08  -0.112572E+04  -0.382722E+04   0.102935E+08   0.154001E+08   0.154232E+08   0.153989E+08  -0.367906E+00   0.812040E+07   0.811991E+07   0.165432E+02
   0.108281E-01   0.149843E+08   0.149718E+08  -0.157524E+04  -0.305030E+04   0.958833E+07   0.149581E+08   0.149824E+08   0.149571E+08  -0.357343E+00   0.788767E+07   0.788718E+07   0.151005E+02
   0.119559E-01   0.145108E+08   0.144963E+08  -0.122095E+04  -0.242354E+04   0.887199E+07   0.144831E+08   0.145085E+08   0.144823E+08  -0.345995E+00   0.763759E+07   0.763710E+07   0.138039E+02
   0.132012E-01   0.140033E+08   0.139865E+08  -0.864434E+03  -0.191890E+04   0.815219E+07   0.139743E+08   0.140006E+08   0.139737E+08  -0.333838E+00   0.736962E+07   0.736912E+07   0.126659E+02
   0.145762E-01   0.134608E+08   0.134414E+08  -0.895550E+03  -0.151344E+04   0.743541E+07   0.134306E+08   0.134578E+08   0.134301E+08  -0.320849E+00   0.708328E+07   0.708278E+07   0.116534E+02
   0.160944E-01   0.128829E+08   0.128605E+08  -0.934941E+03  -0.118846E+04   0.672416E+07   0.128517E+08   0.128794E+08   0.128513E+08  -0.307017E+00   0.677831E+07   0.677779E+07   0.107508E+02
   0.177707E-01   0.122697E+08   0.122439E+08  -0.513184E+03  -0.928717E+03   0.602778E+07   0.122375E+08   0.122656E+08   0.122372E+08  -0.292345E+00   0.645475E+07   0.645422E+07   0.994009E+01
   0.196216E-01   0.116221E+08   0.115928E+08  -0.509461E+03  -0.721804E+03   0.535174E+07   0.115893E+08   0.116175E+08   0.115890E+08  -0.276858E+00   0.611317E+07   0.611263E+07   0.919831E+01
   0.216653E-01   0.109427E+08   0.109096E+08  -0.349132E+03  -0.557627E+03   0.470304E+07   0.109094E+08   0.109375E+08   0.109092E+08  -0.260617E+00   0.575490E+07   0.575434E+07   0.850652E+01
   0.239219E-01   0.102360E+08   0.101992E+08  -0.258112E+03  -0.427988E+03   0.408835E+07   0.102025E+08   0.102302E+08   0.102024E+08  -0.243729E+00   0.538231E+07   0.538174E+07   0.784034E+01
   0.264135E-01   0.950904E+07   0.946870E+07  -0.223280E+03  -0.326227E+03   0.351446E+07   0.947571E+07   0.950270E+07   0.947560E+07  -0.226366E+00   0.499917E+07   0.499861E+07   0.718097E+01
   0.291646E-01   0.877228E+07   0.872898E+07  -0.133472E+03  -0.246930E+03   0.298698E+07   0.873944E+07   0.876548E+07   0.873936E+07  -0.208777E+00   0.461100E+07   0.461043E+07   0.650749E+01
   0.322023E-01   0.803972E+07   0.799440E+07  -0.155460E+03  -0.185686E+03   0.251104E+07   0.800771E+07   0.803260E+07   0.800765E+07  -0.191297E+00   0.422518E+07   0.422462E+07   0.580425E+01
   0.355564E-01   0.732866E+07   0.728269E+07  -0.908890E+02  -0.138879E+03   0.209041E+07   0.729786E+07   0.732144E+07   0.729782E+07  -0.174339E+00   0.385085E+07   0.385031E+07   0.506277E+01
   0.392598E-01   0.665846E+07   0.661363E+07  -0.632302E+02  -0.103531E+03   0.172695E+07   0.662922E+07   0.665142E+07   0.662919E+07  -0.158365E+00   0.349822E+07   0.349771E+07   0.428558E+01
   0.433490E-01   0.604771E+07   0.600608E+07  -0.604342E+02  -0.771577E+02   0.142012E+07   0.602034E+07   0.604117E+07   0.602031E+07  -0.143820E+00   0.317707E+07   0.317662E+07   0.349003E+01
   0.476839E-01   0.552736E+07   0.549070E+07  -0.571562E+02  -0.583024E+02   0.117485E+07   0.550201E+07   0.552160E+07   0.550199E+07  -0.131438E+00   0.290367E+07   0.290328E+07   0.273935E+01
   0.520188E-01   0.511746E+07   0.508658E+07  -0.444828E+02  -0.453746E+02   0.989803E+06   0.509403E+07   0.511261E+07   0.509401E+07  -0.121691E+00   0.268846E+07   0.268814E+07   0.210476E+01
   0.563537E-01   0.478411E+07   0.475899E+07  -0.354470E+02  -0.361574E+02   0.846030E+06   0.476244E+07   0.478017E+07   0.476242E+07  -0.113770E+00   0.251354E+07   0.251327E+07   0.159768E+01
   0.606885E-01   0.450146E+07   0.448138E+07  -0.287682E+02  -0.293446E+02   0.730936E+06   0.448132E+07   0.449830E+07   0.448131E+07  -0.107054E+00   0.236525E+07   0.236502E+07   0.121913E+01
   0.650234E-01   0.425008E+07   0.423384E+07  -0.236680E+02  -0.241422E+02   0.636112E+06   0.423125E+07   0.424753E+07   0.423124E+07  -0.101080E+00   0.223332E+07   0.223313E+07   0.959368E+00
   0.693583E-01   0.401393E+07   0.400010E+07  -0.196510E+02  -0.200445E+02   0.555686E+06   0.399618E+07   0.401175E+07   0.399617E+07  -0.954645E-01   0.210929E+07   0.210913E+07   0.799734E+00
   0.736932E-01   0.378112E+07   0.376832E+07  -0.164005E+02  -0.167289E+02   0.485718E+06   0.376427E+07   0.377911E+07   0.376426E+07  -0.899244E-01   0.198693E+07   0.198677E+07   0.716031E+00
   0.780281E-01   0.354805E+07   0.353514E+07  -0.137289E+02  -0.140037E+02   0.424157E+06   0.353195E+07   0.354602E+07   0.353194E+07  -0.843746E-01   0.186434E+07   0.186418E+07   0.682633E+00
   0.823630E-01   0.331775E+07   0.330399E+07  -0.115229E+02  -0.117535E+02   0.370105E+06   0.330231E+07   0.331559E+07   0.330231E+07  -0.788888E-01   0.174316E+07   0.174300E+07   0.675658E+00
   0.866979E-01   0.309658E+07   0.308167E+07  -0.970654E+01  -0.990080E+01   0.323144E+06   0.308174E+07   0.309423E+07   0.308174E+07  -0.736197E-01   0.162676E+07   0.162659E+07   0.675371E+00
   0.910328E-01   0.289068E+07   0.287473E+07  -0.821891E+01  -0.838338E+01   0.282856E+06   0.287643E+07   0.288817E+07   0.287642E+07  -0.687148E-01   0.151841E+07   0.151822E+07   0.667642E+00
   0.964561E-01   0.266180E+07   0.264518E+07  -0.674129E+01  -0.687616E+01   0.241051E+06   0.264829E+07   0.265919E+07   0.264829E+07  -0.632649E-01   0.139800E+07   0.139782E+07   0.635910E+00
   0.101879E+00   0.247063E+07   0.245432E+07  -0.560907E+01  -0.572127E+01   0.207728E+06   0.245788E+07   0.246807E+07   0.245788E+07  -0.587161E-01   0.129751E+07   0.129733E+07   0.577367E+00
