#    L    TT             EE             BB             TE          
   208   0.568416E+04   0.714498E+00   0.148019E-01  -0.380454E+01
   209   0.569105E+04   0.722639E+00   0.149583E-01  -0.236321E+01
   210   0.569731E+04   0.731964E+00   0.151153E-01  -0.904378E+00
   211   0.570294E+04   0.742512E+00   0.152730E-01   0.571408E+00
   212   0.570796E+04   0.754315E+00   0.154313E-01   0.206357E+01
   213   0.571237E+04   0.767412E+00   0.155902E-01   0.357154E+01
   214   0.571618E+04   0.781839E+00   0.157497E-01   0.509476E+01
   215   0.571938E+04   0.797626E+00   0.159097E-01   0.663261E+01
   216   0.572197E+04   0.814817E+00   0.160703E-01   0.818451E+01
   217   0.572394E+04   0.833441E+00   0.162315E-01   0.974980E+01
   218   0.572529E+04   0.853529E+00   0.163931E-01   0.113280E+02
   219   0.572602E+04   0.875123E+00   0.165553E-01   0.129184E+02
   220   0.572612E+04   0.898254E+00   0.167180E-01   0.145204E+02
   221   0.572559E+04   0.922949E+00   0.168811E-01   0.161334E+02
   222   0.572442E+04   0.949255E+00   0.170447E-01   0.177567E+02
   223   0.572263E+04   0.977191E+00   0.172088E-01   0.193898E+02
   224   0.572020E+04   0.100680E+01   0.173733E-01   0.210319E+02
   225   0.571716E+04   0.103809E+01   0.175381E-01   0.226823E+02
   226   0.571348E+04   0.107112E+01   0.177034E-01   0.243404E+02
   227   0.570918E+04   0.110591E+01   0.178691E-01   0.260054E+02
   228   0.570426E+04   0.114248E+01   0.180351E-01   0.276768E+02
   229   0.569872E+04   0.118087E+01   0.182014E-01   0.293538E+02
   230   0.569256E+04   0.122112E+01   0.183680E-01   0.310358E+02
   231   0.568579E+04   0.126323E+01   0.185350E-01   0.327219E+02
   232   0.567840E+04   0.130724E+01   0.187022E-01   0.344116E+02
   233   0.567040E+04   0.135318E+01   0.188697E-01   0.361040E+02
   234   0.566179E+04   0.140107E+01   0.190374E-01   0.377984E+02
   235   0.565258E+04   0.145094E+01   0.192053E-01   0.394942E+02
   236   0.564275E+04   0.150283E+01   0.193735E-01   0.411907E+02
   237   0.563233E+04   0.155673E+01   0.195418E-01   0.428869E+02
   238   0.562132E+04   0.161267E+01   0.197102E-01   0.445823E+02
   239   0.560971E+04   0.167067E+01   0.198788E-01   0.462760E+02
   240   0.559751E+04   0.173078E+01   0.200475E-01   0.479673E+02
   241   0.558472E+04   0.179299E+01   0.202163E-01   0.496556E+02
   242   0.557135E+04   0.185732E+01   0.203852E-01   0.513399E+02
   243   0.555741E+04   0.192381E+01   0.205541E-01   0.530196E+02
   244   0.554289E+04   0.199245E+01   0.207230E-01   0.546939E+02
   245   0.552781E+04   0.206328E+01   0.208920E-01   0.563622E+02
   246   0.551218E+04   0.213628E+01   0.210609E-01   0.580237E+02
   247   0.549599E+04   0.221150E+01   0.212298E-01   0.596776E+02
   248   0.547926E+04   0.228894E+01   0.213986E-01   0.613232E+02
   249   0.546198E+04   0.236861E+01   0.215674E-01   0.629599E+02
   250   0.544418E+04   0.245053E+01   0.217360E-01   0.645867E+02
   251   0.542584E+04   0.253469E+01   0.219046E-01   0.662029E+02
