 a		phi		phidot		fde		w	1+z	fmatter	frad
    0.135840E-06    0.263271E+00   -0.223622E-22    0.284230E-23   -0.100000E+01    0.736162E+07    0.462467E-03    0.999538E+00
    0.136278E-06    0.263271E+00   -0.226792E-22    0.287920E-23   -0.100000E+01    0.733792E+07    0.463960E-03    0.999536E+00
    0.136718E-06    0.263271E+00   -0.229986E-22    0.291656E-23   -0.100000E+01    0.731430E+07    0.465457E-03    0.999535E+00
    0.137160E-06    0.263271E+00   -0.233204E-22    0.295442E-23   -0.100000E+01    0.729076E+07    0.466960E-03    0.999533E+00
    0.137603E-06    0.263271E+00   -0.236448E-22    0.299276E-23   -0.100000E+01    0.726729E+07    0.468467E-03    0.999532E+00
    0.138047E-06    0.263271E+00   -0.239717E-22    0.303161E-23   -0.100000E+01    0.724389E+07    0.469979E-03    0.999530E+00
    0.138493E-06    0.263271E+00   -0.243011E-22    0.307096E-23   -0.100000E+01    0.722057E+07    0.471496E-03    0.999529E+00
    0.138940E-06    0.263271E+00   -0.246331E-22    0.311081E-23   -0.100000E+01    0.719733E+07    0.473018E-03    0.999527E+00
    0.139389E-06    0.263271E+00   -0.249677E-22    0.315119E-23   -0.100000E+01    0.717416E+07    0.474545E-03    0.999525E+00
    0.139839E-06    0.263271E+00   -0.253050E-22    0.319209E-23   -0.100000E+01    0.715107E+07    0.476077E-03    0.999524E+00
    0.140291E-06    0.263271E+00   -0.256449E-22    0.323352E-23   -0.100000E+01    0.712805E+07    0.477614E-03    0.999522E+00
    0.140744E-06    0.263271E+00   -0.259876E-22    0.327549E-23   -0.100000E+01    0.710510E+07    0.479156E-03    0.999521E+00
    0.141198E-06    0.263271E+00   -0.263329E-22    0.331800E-23   -0.100000E+01    0.708223E+07    0.480702E-03    0.999519E+00
    0.141654E-06    0.263271E+00   -0.266811E-22    0.336106E-23   -0.100000E+01    0.705943E+07    0.482254E-03    0.999518E+00
    0.142112E-06    0.263271E+00   -0.270320E-22    0.340469E-23   -0.100000E+01    0.703671E+07    0.483811E-03    0.999516E+00
    0.142571E-06    0.263271E+00   -0.273857E-22    0.344888E-23   -0.100000E+01    0.701406E+07    0.485372E-03    0.999515E+00
    0.143031E-06    0.263271E+00   -0.277423E-22    0.349364E-23   -0.100000E+01    0.699148E+07    0.486939E-03    0.999513E+00
    0.143493E-06    0.263271E+00   -0.281018E-22    0.353898E-23   -0.100000E+01    0.696897E+07    0.488511E-03    0.999511E+00
    0.143957E-06    0.263271E+00   -0.284641E-22    0.358491E-23   -0.100000E+01    0.694654E+07    0.490088E-03    0.999510E+00
    0.144422E-06    0.263271E+00   -0.288295E-22    0.363144E-23   -0.100000E+01    0.692418E+07    0.491670E-03    0.999508E+00
    0.144888E-06    0.263271E+00   -0.291978E-22    0.367858E-23   -0.100000E+01    0.690189E+07    0.493257E-03    0.999507E+00
    0.145356E-06    0.263271E+00   -0.295691E-22    0.372632E-23   -0.100000E+01    0.687967E+07    0.494849E-03    0.999505E+00
    0.145825E-06    0.263271E+00   -0.299435E-22    0.377468E-23   -0.100000E+01    0.685752E+07    0.496446E-03    0.999504E+00
    0.146296E-06    0.263271E+00   -0.303210E-22    0.382367E-23   -0.100000E+01    0.683545E+07    0.498048E-03    0.999502E+00
    0.146769E-06    0.263271E+00   -0.307015E-22    0.387330E-23   -0.100000E+01    0.681344E+07    0.499656E-03    0.999500E+00
    0.147243E-06    0.263271E+00   -0.310853E-22    0.392357E-23   -0.100000E+01    0.679151E+07    0.501269E-03    0.999499E+00
    0.147718E-06    0.263271E+00   -0.314721E-22    0.397450E-23   -0.100000E+01    0.676965E+07    0.502887E-03    0.999497E+00
    0.148195E-06    0.263271E+00   -0.318623E-22    0.402608E-23   -0.100000E+01    0.674786E+07    0.504510E-03    0.999495E+00
    0.148674E-06    0.263271E+00   -0.322556E-22    0.407834E-23   -0.100000E+01    0.672613E+07    0.506139E-03    0.999494E+00
    0.149154E-06    0.263271E+00   -0.326523E-22    0.413127E-23   -0.100000E+01    0.670448E+07    0.507772E-03    0.999492E+00
    0.149636E-06    0.263271E+00   -0.330522E-22    0.418489E-23   -0.100000E+01    0.668290E+07    0.509411E-03    0.999491E+00
    0.150119E-06    0.263271E+00   -0.334556E-22    0.423920E-23   -0.100000E+01    0.666139E+07    0.511056E-03    0.999489E+00
    0.150604E-06    0.263271E+00   -0.338623E-22    0.429422E-23   -0.100000E+01    0.663994E+07    0.512705E-03    0.999487E+00
    0.151090E-06    0.263271E+00   -0.342724E-22    0.434996E-23   -0.100000E+01    0.661857E+07    0.514360E-03    0.999486E+00
    0.151578E-06    0.263271E+00   -0.346860E-22    0.440642E-23   -0.100000E+01    0.659726E+07    0.516020E-03    0.999484E+00
    0.152068E-06    0.263271E+00   -0.351031E-22    0.446361E-23   -0.100000E+01    0.657603E+07    0.517686E-03    0.999482E+00
    0.152559E-06    0.263271E+00   -0.355238E-22    0.452154E-23   -0.100000E+01    0.655486E+07    0.519357E-03    0.999481E+00
    0.153051E-06    0.263271E+00   -0.359480E-22    0.458022E-23   -0.100000E+01    0.653376E+07    0.521033E-03    0.999479E+00
    0.153546E-06    0.263271E+00   -0.363759E-22    0.463967E-23   -0.100000E+01    0.651273E+07    0.522715E-03    0.999477E+00
    0.154041E-06    0.263271E+00   -0.368074E-22    0.469989E-23   -0.100000E+01    0.649176E+07    0.524402E-03    0.999476E+00
    0.154539E-06    0.263271E+00   -0.372426E-22    0.476089E-23   -0.100000E+01    0.647086E+07    0.526095E-03    0.999474E+00
    0.155038E-06    0.263271E+00   -0.376815E-22    0.482268E-23   -0.100000E+01    0.645003E+07    0.527793E-03    0.999472E+00
    0.155539E-06    0.263271E+00   -0.381242E-22    0.488527E-23   -0.100000E+01    0.642927E+07    0.529497E-03    0.999471E+00
    0.156041E-06    0.263271E+00   -0.385707E-22    0.494868E-23   -0.100000E+01    0.640857E+07    0.531206E-03    0.999469E+00
    0.156545E-06    0.263271E+00   -0.390210E-22    0.501290E-23   -0.100000E+01    0.638794E+07    0.532920E-03    0.999467E+00
    0.157050E-06    0.263271E+00   -0.394753E-22    0.507797E-23   -0.100000E+01    0.636738E+07    0.534641E-03    0.999465E+00
    0.157558E-06    0.263271E+00   -0.399335E-22    0.514387E-23   -0.100000E+01    0.634688E+07    0.536366E-03    0.999464E+00
    0.158066E-06    0.263271E+00   -0.403956E-22    0.521063E-23   -0.100000E+01    0.632645E+07    0.538097E-03    0.999462E+00
    0.158577E-06    0.263271E+00   -0.408618E-22    0.527826E-23   -0.100000E+01    0.630609E+07    0.539834E-03    0.999460E+00
    0.159089E-06    0.263271E+00   -0.413320E-22    0.534677E-23   -0.100000E+01    0.628579E+07    0.541577E-03    0.999458E+00
    0.159603E-06    0.263271E+00   -0.418063E-22    0.541616E-23   -0.100000E+01    0.626555E+07    0.543325E-03    0.999457E+00
