#           k/h    P           
   0.733197E+00   0.517254E+03
   0.748009E+00   0.507625E+03
   0.763119E+00   0.498171E+03
   0.778536E+00   0.488885E+03
   0.794263E+00   0.479761E+03
   0.810308E+00   0.470792E+03
   0.826677E+00   0.461974E+03
   0.843378E+00   0.453299E+03
   0.860415E+00   0.444765E+03
   0.877797E+00   0.436364E+03
   0.895529E+00   0.428093E+03
   0.913620E+00   0.419946E+03
   0.932076E+00   0.411921E+03
   0.950906E+00   0.404011E+03
   0.970115E+00   0.396215E+03
   0.989713E+00   0.388528E+03
   0.100971E+01   0.380946E+03
   0.103010E+01   0.373467E+03
   0.105091E+01   0.366088E+03
   0.107214E+01   0.358806E+03
   0.109380E+01   0.351618E+03
   0.111590E+01   0.344524E+03
   0.113844E+01   0.337520E+03
   0.116144E+01   0.330605E+03
   0.118490E+01   0.323778E+03
   0.120884E+01   0.317035E+03
   0.123326E+01   0.310377E+03
   0.125817E+01   0.303802E+03
   0.128359E+01   0.297308E+03
   0.130952E+01   0.290894E+03
   0.133597E+01   0.284560E+03
   0.136296E+01   0.278304E+03
   0.139049E+01   0.272127E+03
   0.141858E+01   0.266029E+03
   0.144724E+01   0.260007E+03
   0.147648E+01   0.254063E+03
   0.150630E+01   0.248196E+03
   0.153673E+01   0.242406E+03
   0.156778E+01   0.236692E+03
   0.159945E+01   0.231054E+03
   0.163176E+01   0.225492E+03
   0.166472E+01   0.220006E+03
   0.169835E+01   0.214598E+03
   0.173266E+01   0.209266E+03
   0.176766E+01   0.204012E+03
   0.180337E+01   0.198836E+03
   0.183980E+01   0.193738E+03
   0.187697E+01   0.188718E+03
   0.191489E+01   0.183777E+03
   0.195357E+01   0.178916E+03
   0.199304E+01   0.174133E+03
   0.203330E+01   0.169430E+03
   0.207437E+01   0.164807E+03
   0.211628E+01   0.160263E+03
   0.215903E+01   0.155801E+03
   0.220265E+01   0.151419E+03
   0.224714E+01   0.147119E+03
   0.229254E+01   0.142901E+03
   0.233885E+01   0.138764E+03
   0.238610E+01   0.134710E+03
   0.243430E+01   0.130737E+03
   0.248348E+01   0.126846E+03
   0.253365E+01   0.123036E+03
   0.258483E+01   0.119308E+03
   0.263705E+01   0.115661E+03
   0.269032E+01   0.112095E+03
   0.274466E+01   0.108610E+03
   0.280011E+01   0.105206E+03
   0.285668E+01   0.101881E+03
   0.291439E+01   0.986360E+02
   0.297326E+01   0.954699E+02
   0.303332E+01   0.923820E+02
   0.309460E+01   0.893717E+02
   0.315712E+01   0.864382E+02
   0.322090E+01   0.835806E+02
   0.328596E+01   0.807980E+02
   0.335234E+01   0.780895E+02
   0.342006E+01   0.754542E+02
   0.348916E+01   0.728910E+02
   0.355964E+01   0.703989E+02
   0.363155E+01   0.679768E+02
   0.370491E+01   0.656235E+02
   0.377976E+01   0.633379E+02
   0.385611E+01   0.611188E+02
   0.393401E+01   0.589651E+02
   0.401348E+01   0.568754E+02
   0.409456E+01   0.548486E+02
   0.417727E+01   0.528835E+02
   0.426166E+01   0.509789E+02
   0.434775E+01   0.491335E+02
   0.443558E+01   0.473460E+02
   0.452519E+01   0.456153E+02
   0.461660E+01   0.439400E+02
   0.470987E+01   0.423188E+02
   0.480501E+01   0.407506E+02
   0.490208E+01   0.392339E+02
   0.500111E+01   0.377677E+02
   0.510214E+01   0.363504E+02
   0.520521E+01   0.349808E+02
   0.531036E+01   0.336575E+02
   0.541763E+01   0.323791E+02
   0.552708E+01   0.311444E+02
   0.563873E+01   0.299520E+02
   0.575264E+01   0.288006E+02
   0.586885E+01   0.276892E+02
   0.598741E+01   0.266164E+02
   0.610836E+01   0.255812E+02
   0.623176E+01   0.245823E+02
   0.635765E+01   0.236188E+02
   0.648609E+01   0.226897E+02
   0.661711E+01   0.217944E+02
   0.675079E+01   0.209320E+02
   0.688716E+01   0.201017E+02
   0.702629E+01   0.193027E+02
   0.716823E+01   0.185340E+02
   0.731304E+01   0.177949E+02
   0.746077E+01   0.170846E+02
   0.761149E+01   0.164020E+02
   0.776525E+01   0.157465E+02
