#    L    TT             EE             BB             TE          
   347   0.253097E+04   0.177949E+02   0.355305E-01   0.914174E+02
   348   0.250511E+04   0.179467E+02   0.356463E-01   0.900128E+02
   349   0.247961E+04   0.180963E+02   0.357619E-01   0.885813E+02
   350   0.245448E+04   0.182434E+02   0.358772E-01   0.871221E+02
   351   0.242972E+04   0.183882E+02   0.359924E-01   0.856369E+02
   352   0.240535E+04   0.185305E+02   0.361074E-01   0.841264E+02
   353   0.238137E+04   0.186702E+02   0.362222E-01   0.825906E+02
   354   0.235777E+04   0.188075E+02   0.363369E-01   0.810317E+02
   355   0.233458E+04   0.189420E+02   0.364516E-01   0.794491E+02
   356   0.231179E+04   0.190739E+02   0.365661E-01   0.778435E+02
   357   0.228940E+04   0.192030E+02   0.366806E-01   0.762156E+02
   358   0.226742E+04   0.193293E+02   0.367950E-01   0.745663E+02
   359   0.224585E+04   0.194527E+02   0.369094E-01   0.728955E+02
   360   0.222469E+04   0.195731E+02   0.370239E-01   0.712049E+02
   361   0.220395E+04   0.196904E+02   0.371383E-01   0.694932E+02
   362   0.218363E+04   0.198047E+02   0.372529E-01   0.677625E+02
   363   0.216374E+04   0.199158E+02   0.373674E-01   0.660133E+02
   364   0.214426E+04   0.200238E+02   0.374821E-01   0.642464E+02
   365   0.212522E+04   0.201285E+02   0.375969E-01   0.624625E+02
   366   0.210661E+04   0.202300E+02   0.377119E-01   0.606625E+02
   367   0.208844E+04   0.203281E+02   0.378270E-01   0.588472E+02
   368   0.207070E+04   0.204228E+02   0.379423E-01   0.570173E+02
   369   0.205340E+04   0.205142E+02   0.380577E-01   0.551737E+02
   370   0.203654E+04   0.206020E+02   0.381734E-01   0.533170E+02
   371   0.202013E+04   0.206865E+02   0.382894E-01   0.514482E+02
   372   0.200416E+04   0.207674E+02   0.384056E-01   0.495679E+02
   373   0.198863E+04   0.208447E+02   0.385221E-01   0.476770E+02
   374   0.197355E+04   0.209185E+02   0.386389E-01   0.457763E+02
   375   0.195890E+04   0.209886E+02   0.387560E-01   0.438665E+02
