#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.155579E+00   0.147850E+07   0.147031E+07  -0.150461E+01  -0.153354E+01   0.681243E+05   0.147086E+07   0.147722E+07   0.147086E+07  -0.351374E-01   0.780115E+06   0.780024E+06   0.196322E+00
   0.160958E+00   0.140062E+07   0.139226E+07  -0.133166E+01  -0.135726E+01   0.613202E+05   0.139327E+07   0.139930E+07   0.139327E+07  -0.332838E-01   0.738968E+06   0.738876E+06   0.189985E+00
   0.166336E+00   0.133509E+07   0.132692E+07  -0.118862E+01  -0.121147E+01   0.556164E+05   0.132805E+07   0.133381E+07   0.132805E+07  -0.317257E-01   0.704377E+06   0.704288E+06   0.177482E+00
   0.171715E+00   0.128156E+07   0.127391E+07  -0.107066E+01  -0.109124E+01   0.508641E+05   0.127481E+07   0.128036E+07   0.127481E+07  -0.304540E-01   0.676145E+06   0.676063E+06   0.160301E+00
   0.177094E+00   0.123734E+07   0.123043E+07  -0.971959E+00  -0.990642E+00   0.468473E+05   0.123090E+07   0.123626E+07   0.123089E+07  -0.294048E-01   0.652854E+06   0.652779E+06   0.141049E+00
   0.182473E+00   0.119907E+07   0.119295E+07  -0.887268E+00  -0.904323E+00   0.433577E+05   0.119290E+07   0.119811E+07   0.119290E+07  -0.284972E-01   0.632705E+06   0.632638E+06   0.122559E+00
   0.187851E+00   0.116348E+07   0.115807E+07  -0.812406E+00  -0.828022E+00   0.402231E+05   0.115757E+07   0.116263E+07   0.115757E+07  -0.276530E-01   0.613964E+06   0.613904E+06   0.107109E+00
   0.193230E+00   0.112769E+07   0.112280E+07  -0.744243E+00  -0.758549E+00   0.373117E+05   0.112201E+07   0.112692E+07   0.112201E+07  -0.268037E-01   0.595107E+06   0.595051E+06   0.959437E-01
   0.198609E+00   0.108981E+07   0.108520E+07  -0.680842E+00  -0.693929E+00   0.345429E+05   0.108433E+07   0.108909E+07   0.108433E+07  -0.259036E-01   0.575125E+06   0.575072E+06   0.891579E-01
   0.203988E+00   0.104952E+07   0.104496E+07  -0.621557E+00  -0.633504E+00   0.318966E+05   0.104422E+07   0.104881E+07   0.104422E+07  -0.249454E-01   0.553852E+06   0.553800E+06   0.859069E-01
   0.209366E+00   0.100793E+07   0.100327E+07  -0.566641E+00  -0.577531E+00   0.293973E+05   0.100279E+07   0.100720E+07   0.100279E+07  -0.239556E-01   0.531878E+06   0.531825E+06   0.847932E-01
   0.214745E+00   0.966764E+06   0.961958E+06  -0.516601E+00  -0.526530E+00   0.270827E+05   0.961777E+06   0.966009E+06   0.961776E+06  -0.229758E-01   0.510127E+06   0.510073E+06   0.843030E-01
   0.220124E+00   0.927757E+06   0.922830E+06  -0.471814E+00  -0.480882E+00   0.249837E+05   0.922917E+06   0.926983E+06   0.922916E+06  -0.220475E-01   0.489518E+06   0.489463E+06   0.831854E-01
