#    L    TT             EE             TE             PP             TP          
   253   0.538690E+04   0.272302E+01   0.706156E+02   0.204067E+07   0.164017E+04
   254   0.536665E+04   0.281545E+01   0.722045E+02   0.203197E+07   0.162654E+04
   255   0.534588E+04   0.291017E+01   0.737792E+02   0.202332E+07   0.161302E+04
   256   0.532458E+04   0.300719E+01   0.753391E+02   0.201473E+07   0.159960E+04
   257   0.530278E+04   0.310652E+01   0.768835E+02   0.200620E+07   0.158628E+04
   258   0.528048E+04   0.320815E+01   0.784114E+02   0.199773E+07   0.157306E+04
   259   0.525769E+04   0.331208E+01   0.799232E+02   0.198931E+07   0.155993E+04
   260   0.523445E+04   0.341830E+01   0.814168E+02   0.198095E+07   0.154690E+04
   261   0.521074E+04   0.352682E+01   0.828929E+02   0.197265E+07   0.153397E+04
   262   0.518659E+04   0.363764E+01   0.843500E+02   0.196440E+07   0.152113E+04
   263   0.516201E+04   0.375074E+01   0.857881E+02   0.195620E+07   0.150839E+04
   264   0.513700E+04   0.386611E+01   0.872057E+02   0.194806E+07   0.149574E+04
   265   0.511157E+04   0.398375E+01   0.886036E+02   0.193997E+07   0.148319E+04
   266   0.508572E+04   0.410365E+01   0.899796E+02   0.193193E+07   0.147072E+04
   267   0.505948E+04   0.422577E+01   0.913329E+02   0.192395E+07   0.145835E+04
   268   0.503283E+04   0.435012E+01   0.926643E+02   0.191602E+07   0.144607E+04
   269   0.500578E+04   0.447668E+01   0.939715E+02   0.190814E+07   0.143387E+04
   270   0.497834E+04   0.460543E+01   0.952554E+02   0.190031E+07   0.142176E+04
   271   0.495053E+04   0.473636E+01   0.965136E+02   0.189254E+07   0.140975E+04
   272   0.492234E+04   0.486945E+01   0.977470E+02   0.188481E+07   0.139781E+04
   273   0.489380E+04   0.500466E+01   0.989541E+02   0.187714E+07   0.138597E+04
   274   0.486491E+04   0.514200E+01   0.100136E+03   0.186951E+07   0.137421E+04
   275   0.483568E+04   0.528141E+01   0.101289E+03   0.186193E+07   0.136253E+04
   276   0.480613E+04   0.542290E+01   0.102416E+03   0.185440E+07   0.135093E+04
   277   0.477627E+04   0.556643E+01   0.103514E+03   0.184692E+07   0.133942E+04
   278   0.474610E+04   0.571199E+01   0.104583E+03   0.183949E+07   0.132799E+04
