#    L    TT             EE             BB             TE             PP             TP             EP          
   198   0.559262E+04   0.669246E+00   0.000000E+00  -0.167475E+02   0.569318E-07   0.151293E-03  -0.404730E-06
   199   0.560555E+04   0.667499E+00   0.000000E+00  -0.154927E+02   0.566460E-07   0.150077E-03  -0.390626E-06
   200   0.561790E+04   0.666593E+00   0.000000E+00  -0.142158E+02   0.563625E-07   0.148870E-03  -0.376510E-06
   201   0.562966E+04   0.666565E+00   0.000000E+00  -0.129169E+02   0.560812E-07   0.147673E-03  -0.362378E-06
   202   0.564082E+04   0.667452E+00   0.000000E+00  -0.115966E+02   0.558021E-07   0.146484E-03  -0.348228E-06
   203   0.565137E+04   0.669289E+00   0.000000E+00  -0.102552E+02   0.555252E-07   0.145305E-03  -0.334062E-06
   204   0.566131E+04   0.672115E+00   0.000000E+00  -0.889328E+01   0.552504E-07   0.144134E-03  -0.319882E-06
   205   0.567060E+04   0.675964E+00   0.000000E+00  -0.751125E+01   0.549779E-07   0.142971E-03  -0.305688E-06
   206   0.567927E+04   0.680873E+00   0.000000E+00  -0.610951E+01   0.547074E-07   0.141818E-03  -0.291483E-06
   207   0.568729E+04   0.686880E+00   0.000000E+00  -0.468848E+01   0.544391E-07   0.140672E-03  -0.277267E-06
   208   0.569465E+04   0.694021E+00   0.000000E+00  -0.324875E+01   0.541729E-07   0.139536E-03  -0.263043E-06
   209   0.570139E+04   0.702331E+00   0.000000E+00  -0.179090E+01   0.539087E-07   0.138408E-03  -0.248810E-06
   210   0.570749E+04   0.711847E+00   0.000000E+00  -0.315504E+00   0.536466E-07   0.137288E-03  -0.234570E-06
   211   0.571296E+04   0.722608E+00   0.000000E+00   0.117688E+01   0.533866E-07   0.136177E-03  -0.220326E-06
   212   0.571782E+04   0.734647E+00   0.000000E+00   0.268567E+01   0.531286E-07   0.135074E-03  -0.206078E-06
   213   0.572206E+04   0.748002E+00   0.000000E+00   0.421028E+01   0.528726E-07   0.133979E-03  -0.191827E-06
   214   0.572569E+04   0.762710E+00   0.000000E+00   0.575015E+01   0.526185E-07   0.132893E-03  -0.177574E-06
   215   0.572871E+04   0.778801E+00   0.000000E+00   0.730465E+01   0.523665E-07   0.131815E-03  -0.163322E-06
   216   0.573112E+04   0.796319E+00   0.000000E+00   0.887319E+01   0.521164E-07   0.130744E-03  -0.149072E-06
   217   0.573289E+04   0.815295E+00   0.000000E+00   0.104551E+02   0.518682E-07   0.129682E-03  -0.134824E-06
   218   0.573405E+04   0.835758E+00   0.000000E+00   0.120499E+02   0.516219E-07   0.128628E-03  -0.120580E-06
