#    L    TT             EE             BB             TE          
   194   0.108235E+02   0.253874E-01   0.177182E-01   0.142914E+00
   195   0.109234E+02   0.249902E-01   0.177125E-01   0.135312E+00
   196   0.110160E+02   0.246192E-01   0.177141E-01   0.127554E+00
   197   0.111007E+02   0.242747E-01   0.177228E-01   0.119670E+00
   198   0.111772E+02   0.239568E-01   0.177380E-01   0.111690E+00
   199   0.112451E+02   0.236659E-01   0.177593E-01   0.103643E+00
   200   0.113039E+02   0.234020E-01   0.177864E-01   0.955616E-01
   201   0.113534E+02   0.231654E-01   0.178188E-01   0.874709E-01
   202   0.113936E+02   0.229553E-01   0.178563E-01   0.793819E-01
   203   0.114248E+02   0.227712E-01   0.178986E-01   0.713017E-01
   204   0.114472E+02   0.226124E-01   0.179455E-01   0.632373E-01
   205   0.114610E+02   0.224780E-01   0.179967E-01   0.551955E-01
   206   0.114665E+02   0.223676E-01   0.180521E-01   0.471834E-01
   207   0.114638E+02   0.222802E-01   0.181112E-01   0.392079E-01
   208   0.114532E+02   0.222153E-01   0.181740E-01   0.312761E-01
   209   0.114349E+02   0.221722E-01   0.182401E-01   0.233948E-01
   210   0.114091E+02   0.221502E-01   0.183093E-01   0.155710E-01
   211   0.113761E+02   0.221485E-01   0.183814E-01   0.781172E-02
   212   0.113360E+02   0.221664E-01   0.184560E-01   0.123925E-03
   213   0.112891E+02   0.222033E-01   0.185331E-01  -0.748544E-02
   214   0.112355E+02   0.222585E-01   0.186123E-01  -0.150094E-01
   215   0.111757E+02   0.223313E-01   0.186934E-01  -0.224410E-01
   216   0.111096E+02   0.224210E-01   0.187761E-01  -0.297732E-01
   217   0.110376E+02   0.225268E-01   0.188602E-01  -0.369992E-01
   218   0.109599E+02   0.226482E-01   0.189454E-01  -0.441119E-01
   219   0.108767E+02   0.227843E-01   0.190316E-01  -0.511043E-01
   220   0.107882E+02   0.229345E-01   0.191184E-01  -0.579695E-01
   221   0.106946E+02   0.230981E-01   0.192056E-01  -0.647006E-01
   222   0.105962E+02   0.232744E-01   0.192930E-01  -0.712905E-01
   223   0.104932E+02   0.234627E-01   0.193803E-01  -0.777323E-01
   224   0.103858E+02   0.236623E-01   0.194673E-01  -0.840191E-01
   225   0.102742E+02   0.238726E-01   0.195537E-01  -0.901438E-01
   226   0.101586E+02   0.240927E-01   0.196393E-01  -0.960994E-01
   227   0.100393E+02   0.243221E-01   0.197238E-01  -0.101879E+00
   228   0.991653E+01   0.245599E-01   0.198071E-01  -0.107476E+00
   229   0.979041E+01   0.248056E-01   0.198888E-01  -0.112883E+00
   230   0.966121E+01   0.250585E-01   0.199687E-01  -0.118093E+00
   231   0.952915E+01   0.253177E-01   0.200465E-01  -0.123099E+00
   232   0.939445E+01   0.255827E-01   0.201221E-01  -0.127894E+00
   233   0.925733E+01   0.258528E-01   0.201951E-01  -0.132472E+00
   234   0.911802E+01   0.261271E-01   0.202654E-01  -0.136825E+00
   235   0.897672E+01   0.264052E-01   0.203326E-01  -0.140946E+00
   236   0.883366E+01   0.266861E-01   0.203966E-01  -0.144828E+00
   237   0.868906E+01   0.269694E-01   0.204571E-01  -0.148465E+00
   238   0.854314E+01   0.272541E-01   0.205138E-01  -0.151849E+00
   239   0.839613E+01   0.275398E-01   0.205665E-01  -0.154974E+00
   240   0.824823E+01   0.278256E-01   0.206150E-01  -0.157832E+00
   241   0.809967E+01   0.281108E-01   0.206590E-01  -0.160416E+00
   242   0.795068E+01   0.283949E-01   0.206982E-01  -0.162720E+00
   243   0.780146E+01   0.286770E-01   0.207325E-01  -0.164737E+00
   244   0.765224E+01   0.289565E-01   0.207615E-01  -0.166459E+00
   245   0.750325E+01   0.292326E-01   0.207851E-01  -0.167880E+00
   246   0.735469E+01   0.295048E-01   0.208029E-01  -0.168992E+00
   247   0.720680E+01   0.297722E-01   0.208148E-01  -0.169789E+00
   248   0.705979E+01   0.300342E-01   0.208205E-01  -0.170264E+00
   249   0.691387E+01   0.302902E-01   0.208198E-01  -0.170409E+00
   250   0.676928E+01   0.305393E-01   0.208123E-01  -0.170219E+00
   251   0.662620E+01   0.307810E-01   0.207980E-01  -0.169688E+00
   252   0.648470E+01   0.310151E-01   0.207769E-01  -0.168824E+00
   253   0.634482E+01   0.312416E-01   0.207492E-01  -0.167639E+00
   254   0.620660E+01   0.314604E-01   0.207151E-01  -0.166142E+00
   255   0.607009E+01   0.316714E-01   0.206748E-01  -0.164344E+00
   256   0.593531E+01   0.318745E-01   0.206285E-01  -0.162257E+00
   257   0.580232E+01   0.320697E-01   0.205762E-01  -0.159889E+00
   258   0.567115E+01   0.322568E-01   0.205183E-01  -0.157253E+00
   259   0.554185E+01   0.324359E-01   0.204549E-01  -0.154358E+00
   260   0.541444E+01   0.326068E-01   0.203862E-01  -0.151216E+00
   261   0.528898E+01   0.327694E-01   0.203123E-01  -0.147836E+00
   262   0.516550E+01   0.329238E-01   0.202334E-01  -0.144230E+00
   263   0.504405E+01   0.330697E-01   0.201498E-01  -0.140408E+00
   264   0.492465E+01   0.332072E-01   0.200615E-01  -0.136381E+00
   265   0.480737E+01   0.333362E-01   0.199688E-01  -0.132159E+00
   266   0.469222E+01   0.334565E-01   0.198719E-01  -0.127753E+00
   267   0.457926E+01   0.335682E-01   0.197708E-01  -0.123173E+00
   268   0.446853E+01   0.336711E-01   0.196659E-01  -0.118431E+00
   269   0.436005E+01   0.337652E-01   0.195573E-01  -0.113536E+00
   270   0.425389E+01   0.338504E-01   0.194451E-01  -0.108499E+00
   271   0.415007E+01   0.339266E-01   0.193296E-01  -0.103332E+00
   272   0.404863E+01   0.339938E-01   0.192109E-01  -0.980437E-01
   273   0.394962E+01   0.340518E-01   0.190892E-01  -0.926457E-01
   274   0.385308E+01   0.341007E-01   0.189647E-01  -0.871484E-01
   275   0.375904E+01   0.341402E-01   0.188375E-01  -0.815624E-01
   276   0.366754E+01   0.341704E-01   0.187079E-01  -0.758984E-01
   277   0.357864E+01   0.341912E-01   0.185760E-01  -0.701670E-01
   278   0.349236E+01   0.342025E-01   0.184419E-01  -0.643787E-01
   279   0.340875E+01   0.342043E-01   0.183060E-01  -0.585441E-01
   280   0.332784E+01   0.341963E-01   0.181683E-01  -0.526739E-01
   281   0.324968E+01   0.341787E-01   0.180291E-01  -0.467786E-01
   282   0.317431E+01   0.341513E-01   0.178884E-01  -0.408689E-01
   283   0.310176E+01   0.341140E-01   0.177466E-01  -0.349554E-01
   284   0.303209E+01   0.340668E-01   0.176037E-01  -0.290487E-01
   285   0.296532E+01   0.340096E-01   0.174600E-01  -0.231593E-01
   286   0.290150E+01   0.339423E-01   0.173156E-01  -0.172979E-01
   287   0.284067E+01   0.338648E-01   0.171707E-01  -0.114752E-01
   288   0.278286E+01   0.337771E-01   0.170256E-01  -0.570156E-02
   289   0.272813E+01   0.336791E-01   0.168802E-01   0.122301E-04
   290   0.267650E+01   0.335707E-01   0.167350E-01   0.565562E-02
   291   0.262803E+01   0.334518E-01   0.165899E-01   0.112180E-01
   292   0.258274E+01   0.333224E-01   0.164453E-01   0.166888E-01
   293   0.254069E+01   0.331824E-01   0.163012E-01   0.220573E-01
   294   0.250190E+01   0.330318E-01   0.161579E-01   0.273130E-01
   295   0.246642E+01   0.328704E-01   0.160156E-01   0.324453E-01
   296   0.243430E+01   0.326981E-01   0.158743E-01   0.374436E-01
   297   0.240556E+01   0.325150E-01   0.157344E-01   0.422972E-01
   298   0.238026E+01   0.323209E-01   0.155960E-01   0.469956E-01
   299   0.235842E+01   0.321157E-01   0.154592E-01   0.515281E-01
   300   0.234010E+01   0.318995E-01   0.153242E-01   0.558842E-01
   301   0.232530E+01   0.316721E-01   0.151913E-01   0.600554E-01
   302   0.231394E+01   0.314340E-01   0.150604E-01   0.640419E-01
   303   0.230589E+01   0.311857E-01   0.149315E-01   0.678462E-01
   304   0.230104E+01   0.309275E-01   0.148047E-01   0.714707E-01
   305   0.229927E+01   0.306601E-01   0.146799E-01   0.749177E-01
   306   0.230046E+01   0.303839E-01   0.145572E-01   0.781897E-01
   307   0.230450E+01   0.300992E-01   0.144367E-01   0.812891E-01
   308   0.231126E+01   0.298067E-01   0.143182E-01   0.842183E-01
   309   0.232063E+01   0.295068E-01   0.142019E-01   0.869797E-01
   310   0.233249E+01   0.291999E-01   0.140877E-01   0.895757E-01
   311   0.234672E+01   0.288866E-01   0.139757E-01   0.920087E-01
   312   0.236321E+01   0.285672E-01   0.138659E-01   0.942812E-01
   313   0.238184E+01   0.282423E-01   0.137582E-01   0.963954E-01
   314   0.240249E+01   0.279124E-01   0.136527E-01   0.983540E-01
   315   0.242503E+01   0.275779E-01   0.135495E-01   0.100159E+00
   316   0.244936E+01   0.272393E-01   0.134484E-01   0.101813E+00
   317   0.247536E+01   0.268970E-01   0.133496E-01   0.103319E+00
   318   0.250290E+01   0.265515E-01   0.132531E-01   0.104679E+00
   319   0.253188E+01   0.262034E-01   0.131588E-01   0.105894E+00
   320   0.256216E+01   0.258530E-01   0.130668E-01   0.106969E+00
   321   0.259364E+01   0.255009E-01   0.129770E-01   0.107905E+00
   322   0.262620E+01   0.251475E-01   0.128896E-01   0.108704E+00
   323   0.265971E+01   0.247933E-01   0.128045E-01   0.109369E+00
   324   0.269407E+01   0.244388E-01   0.127218E-01   0.109902E+00
   325   0.272915E+01   0.240844E-01   0.126414E-01   0.110306E+00
   326   0.276483E+01   0.237306E-01   0.125633E-01   0.110583E+00
   327   0.280100E+01   0.233779E-01   0.124876E-01   0.110736E+00
   328   0.283754E+01   0.230267E-01   0.124143E-01   0.110767E+00
   329   0.287433E+01   0.226776E-01   0.123434E-01   0.110678E+00
   330   0.291126E+01   0.223309E-01   0.122750E-01   0.110472E+00
   331   0.294820E+01   0.219873E-01   0.122089E-01   0.110151E+00
   332   0.298503E+01   0.216470E-01   0.121453E-01   0.109717E+00
